date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:41	103793/103793	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Dec%202021%2010:56:41%20GMT	https://token-restore.io/wp-content/uploads/2021/12/banner.png	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/uploads/2021/12/banner.png	(from https://token-restore.io/)
15:05:42	20630/20630	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2005%20Jan%202022%2001:38:46%20GMT	https://token-restore.io/wp-content/themes/kadence/assets/js/navigation.min.js?ver=1.1.11	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/themes/kadence/assets/js/navigation.min8022.js	(from https://token-restore.io/)
15:05:42	117926/117926	---MCZ	200	added ('OK')	text/html	etag:%2275-1641210725;gz%22	https://token-restore.io/asset/	C:/My%20Web%20Sites/newphise/token-restore.io/asset/index.html	(from https://token-restore.io/)
15:05:42	136093/136093	---MC-	200	added ('OK')	application/json	etag:%2287-1641416520;;;%22	https://token-restore.io/wp-json/	C:/My%20Web%20Sites/newphise/token-restore.io/wp-json/index.html	(from https://token-restore.io/)
15:05:42	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Jan%202021%2001:59:24%20GMT	https://token-restore.io/wp-includes/js/wp-embed.min.js?ver=5.8.2	C:/My%20Web%20Sites/newphise/token-restore.io/wp-includes/js/wp-embed.min080f.js	(from https://token-restore.io/)
15:05:43	4702/4702	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2020%20Dec%202021%2018:54:51%20GMT	https://token-restore.io/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.4.1	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min5589.js	(from https://token-restore.io/)
15:05:43	4905/4905	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Dec%202021%2019:26:58%20GMT	https://token-restore.io/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.5.3	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/plugins/elementor/assets/js/webpack.runtime.min1aae.js	(from https://token-restore.io/)
15:05:44	14235/14235	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Dec%202021%2019:26:58%20GMT	https://token-restore.io/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.5.3	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/plugins/elementor/assets/js/frontend-modules.min1aae.js	(from https://token-restore.io/)
15:05:44	19900/19900	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2020%20Dec%202021%2018:54:51%20GMT	https://token-restore.io/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.4.1	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/plugins/elementor-pro/assets/js/frontend.min5589.js	(from https://token-restore.io/)
15:05:44	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202017%2021:35:32%20GMT	https://token-restore.io/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/My%20Web%20Sites/newphise/token-restore.io/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://token-restore.io/)
